Pno01G005483.t1	Pno01G005033.t2
Pno01G002376.t1	Pno07G012364.t1
Pno01G002390.t1	Pno07G012886.t1
Pno01G002486.t1	Pno07G013149.t1
Pno01G002571.t1	Pno07G013736.t1
Pno01G002657.t1	Pno07G014474.t2
Pno01G008406.t1	Pno07G000616.t1
Pno01G008460.t1	Pno07G000579.t1
Pno01G008551.t2	Pno07G000481.t1
Pno01G008706.t1	Pno07G000018.t1
Pno01G008926.t1	Pno07G017073.t1
Pno01G009102.t1	Pno07G014186.t2
Pno01G009204.t1	Pno07G013335.t1
Pno01G009213.t1	Pno07G012575.t4
Pno01G009472.t1	Pno07G009659.t1
Pno01G009479.t1	Pno07G009351.t2
Pno01G009535.t1	Pno07G008913.t1
Pno01G009589.t1	Pno07G008744.t1
Pno01G009946.t1	Pno07G005273.t1
Pno01G010033.t1	Pno07G005096.t1
Pno01G010054.t1	Pno07G004905.t1
Pno01G005252.t1	Pno07G007373.t1
Pno01G005256.t3	Pno07G007217.t1
Pno01G005276.t1	Pno07G007171.t1
Pno01G005279.t1	Pno07G007128.t1
Pno01G005301.t1	Pno07G006879.t1
Pno01G005306.t1	Pno07G006854.t1
Pno01G005322.t1	Pno07G006818.t1
Pno01G005331.t1	Pno07G006569.t1
Pno01G005346.t1	Pno07G005867.t1
Pno01G005347.t1	Pno07G005825.t2
Pno01G005350.t1	Pno07G005719.t2
Pno01G005376.t1	Pno07G005623.t1
Pno01G005384.t1	Pno07G005577.t1
Pno01G005430.t1	Pno09G001620.t1
Pno01G005431.t1	Pno09G001622.t1
Pno01G005432.t1	Pno09G001633.t1
Pno01G005436.t2	Pno09G001636.t1
Pno01G005445.t1	Pno09G001639.t1
Pno01G005469.t1	Pno09G001654.t1
Pno01G005480.t1	Pno09G001659.t1
Pno01G005481.t1	Pno09G001660.t1
Pno01G005488.t1	Pno09G001664.t1
Pno01G005515.t1	Pno09G001680.t1
Pno01G005517.t1	Pno09G001681.t1
Pno01G005518.t1	Pno09G001684.t1
Pno01G005520.t2	Pno09G001686.t1
Pno01G005529.t1	Pno09G001694.t1
Pno01G005530.t1	Pno09G001695.t1
Pno01G005533.t1	Pno09G001704.t1
Pno01G005539.t1	Pno09G001709.t1
Pno01G005540.t1	Pno09G001710.t2
Pno01G005541.t1	Pno09G001711.t1
Pno01G005542.t1	Pno09G001712.t2
Pno01G005553.t2	Pno09G001714.t1
Pno01G005555.t1	Pno09G001716.t1
Pno01G005565.t1	Pno09G001719.t1
Pno01G005571.t1	Pno09G001721.t3
Pno01G005573.t1	Pno09G001727.t5
Pno01G005574.t1	Pno09G001729.t1
Pno01G005580.t1	Pno09G001732.t1
Pno01G005584.t1	Pno09G001740.t1
Pno01G005585.t1	Pno09G001745.t1
Pno01G005594.t1	Pno09G001746.t1
Pno01G005598.t1	Pno09G001752.t1
Pno01G005605.t1	Pno09G001758.t1
Pno01G005649.t1	Pno09G001762.t1
Pno01G005656.t1	Pno09G001766.t2
Pno01G005662.t3	Pno09G001769.t2
Pno01G005670.t1	Pno09G001770.t1
Pno01G005698.t1	Pno09G001782.t1
Pno01G005703.t2	Pno09G001792.t1
Pno01G005704.t1	Pno09G001795.t1
Pno01G005707.t1	Pno09G001799.t2
Pno01G005713.t1	Pno09G001800.t2
Pno01G005714.t1	Pno09G001801.t1
Pno01G005720.t1	Pno09G001802.t1
Pno01G005722.t1	Pno09G001803.t1
Pno01G005723.t1	Pno09G001805.t1
Pno01G005730.t1	Pno09G001809.t1
Pno01G005737.t1	Pno09G001815.t1
Pno01G005738.t3	Pno09G001816.t1
Pno01G005740.t1	Pno09G001821.t1
Pno01G005743.t1	Pno09G001825.t1
Pno01G005814.t1	Pno09G001836.t1
Pno01G005830.t3	Pno09G001846.t1
Pno01G005837.t1	Pno09G001849.t1
Pno01G005839.t1	Pno09G001851.t1
Pno01G005849.t1	Pno09G001855.t1
Pno01G005856.t1	Pno09G001856.t1
Pno01G005869.t1	Pno09G001864.t2
Pno01G005882.t1	Pno09G001877.t1
Pno01G005883.t1	Pno09G001880.t1
Pno01G005887.t1	Pno09G001886.t1
Pno01G005898.t1	Pno09G001905.t1
Pno01G005900.t1	Pno09G001907.t1
Pno01G005905.t5	Pno09G001909.t1
Pno01G005906.t2	Pno09G001910.t2
Pno01G005908.t1	Pno09G001911.t1
Pno01G005918.t1	Pno09G001923.t1
Pno01G005923.t1	Pno09G001924.t1
Pno01G005927.t1	Pno09G001925.t1
Pno01G005094.t1	Pno09G002380.t1
Pno01G005110.t1	Pno09G002388.t1
Pno01G005115.t1	Pno09G002393.t1
Pno01G005128.t1	Pno09G002396.t1
Pno01G005132.t1	Pno09G002397.t4
Pno01G005134.t2	Pno09G002400.t1
Pno01G005138.t1	Pno09G002401.t1
Pno01G005144.t1	Pno09G002402.t1
Pno01G005147.t1	Pno09G002410.t4
Pno01G005148.t1	Pno09G002413.t2
Pno01G005150.t1	Pno09G002416.t1
Pno01G005151.t1	Pno09G002418.t1
Pno01G005156.t1	Pno09G002419.t1
Pno01G005157.t1	Pno09G002420.t1
Pno01G005158.t1	Pno09G002421.t1
Pno01G005159.t1	Pno09G002422.t1
Pno01G005161.t1	Pno09G002423.t1
Pno01G005163.t1	Pno09G002424.t1
Pno01G005167.t1	Pno09G002425.t1
Pno01G005169.t3	Pno09G002429.t1
Pno01G005171.t1	Pno09G002433.t1
Pno01G005172.t2	Pno09G002436.t1
Pno01G005185.t1	Pno09G002453.t1
Pno01G005187.t1	Pno09G002456.t1
Pno01G005201.t1	Pno09G002466.t1
Pno01G005235.t1	Pno09G002476.t1
Pno01G005236.t1	Pno09G002482.t1
Pno01G005245.t1	Pno09G002498.t1
Pno01G005279.t1	Pno09G002533.t1
Pno01G005286.t4	Pno09G002537.t1
Pno01G005293.t1	Pno09G002538.t1
Pno01G005294.t1	Pno09G002539.t1
Pno01G005300.t1	Pno09G002542.t1
Pno01G005301.t1	Pno09G002543.t1
Pno01G005303.t1	Pno09G002544.t1
Pno01G005320.t1	Pno09G002549.t1
Pno01G005321.t1	Pno09G002550.t1
Pno01G005322.t1	Pno09G002551.t1
Pno01G005324.t1	Pno09G002553.t1
Pno01G005327.t1	Pno09G002562.t1
Pno01G005328.t1	Pno09G002563.t1
Pno01G005331.t1	Pno09G002567.t1
Pno01G005335.t1	Pno09G002570.t1
Pno01G005337.t1	Pno09G002571.t1
Pno01G005342.t1	Pno09G002573.t1
Pno01G005345.t1	Pno09G002582.t1
Pno01G005346.t1	Pno09G002585.t1
Pno01G005347.t1	Pno09G002586.t4
Pno01G005348.t1	Pno09G002588.t2
Pno01G005349.t2	Pno09G002589.t1
Pno01G005350.t1	Pno09G002591.t1
Pno01G005351.t1	Pno09G002592.t2
Pno01G005360.t1	Pno09G002598.t1
Pno01G005364.t1	Pno09G002602.t1
Pno01G005365.t5	Pno09G002603.t1
Pno01G005367.t1	Pno09G002609.t1
Pno01G005375.t1	Pno09G002612.t1
Pno01G005379.t1	Pno09G002613.t1
Pno01G005385.t1	Pno09G002614.t1
Pno01G001430.t1	Pno09G016122.t1
Pno01G001438.t1	Pno09G016137.t1
Pno01G001447.t1	Pno09G016173.t3
Pno01G001469.t1	Pno09G016210.t1
Pno01G001476.t1	Pno09G016211.t1
Pno01G001479.t1	Pno09G016213.t1
Pno01G001484.t1	Pno09G016216.t1
Pno01G001490.t1	Pno09G016226.t1
Pno01G001520.t1	Pno09G016233.t3
Pno01G001523.t1	Pno09G016241.t1
Pno01G001524.t1	Pno09G016242.t1
Pno01G001527.t1	Pno09G016262.t1
Pno01G001532.t2	Pno09G016276.t1
Pno01G001534.t1	Pno09G016279.t1
Pno01G001549.t1	Pno09G016291.t1
Pno01G001600.t1	Pno09G016381.t1
Pno01G001603.t1	Pno09G016386.t1
Pno01G001608.t1	Pno09G016396.t1
Pno01G001638.t1	Pno09G016410.t1
Pno01G001642.t1	Pno09G016424.t1
Pno01G001649.t1	Pno09G016442.t1
Pno01G001662.t1	Pno09G016455.t1
Pno01G001682.t1	Pno09G016492.t1
Pno01G001684.t1	Pno09G016515.t1
Pno01G001724.t1	Pno09G016580.t1
Pno01G001725.t1	Pno09G016597.t1
Pno01G001737.t1	Pno09G016614.t1
Pno01G001777.t1	Pno09G016627.t1
Pno01G001819.t1	Pno09G016633.t1
Pno01G001824.t1	Pno09G016660.t1
Pno01G001837.t1	Pno09G016666.t1
Pno01G001839.t1	Pno09G016667.t1
Pno01G001845.t1	Pno09G016675.t1
Pno01G001858.t1	Pno09G016701.t1
Pno01G001863.t7	Pno09G016705.t1
Pno01G001890.t1	Pno09G016712.t1
Pno01G001895.t1	Pno09G016714.t2
Pno01G001900.t1	Pno09G016748.t1
Pno01G001907.t1	Pno09G016750.t1
Pno01G001968.t3	Pno09G016774.t2
Pno01G001971.t1	Pno09G016775.t1
Pno01G001991.t1	Pno09G016788.t1
Pno01G001999.t1	Pno09G016800.t1
Pno01G002002.t1	Pno09G016806.t1
Pno01G002038.t1	Pno09G016807.t1
Pno01G002056.t1	Pno09G016814.t1
Pno01G002070.t1	Pno09G016838.t1
Pno01G002088.t1	Pno09G016870.t1
Pno01G004944.t1	Pno09G015603.t1
Pno01G004950.t1	Pno09G015704.t1
Pno01G004954.t1	Pno09G015732.t1
Pno01G004956.t1	Pno09G015734.t1
Pno01G004957.t1	Pno09G015735.t1
Pno01G004959.t1	Pno09G015736.t1
Pno01G004961.t3	Pno09G015779.t1
Pno01G004962.t1	Pno09G015782.t1
Pno01G004970.t1	Pno09G015832.t1
Pno01G004972.t1	Pno09G015834.t1
Pno01G004973.t1	Pno09G015836.t1
Pno01G004974.t1	Pno09G015867.t1
Pno01G004976.t1	Pno09G015893.t1
Pno01G004979.t1	Pno09G015913.t1
Pno01G005011.t1	Pno09G015951.t1
Pno01G005014.t1	Pno09G015963.t1
Pno01G005015.t2	Pno09G015964.t1
Pno01G005017.t1	Pno09G015965.t1
Pno01G005022.t1	Pno09G015968.t1
Pno01G005024.t1	Pno09G015986.t1
Pno01G005029.t2	Pno09G015998.t1
Pno01G005032.t1	Pno09G016004.t3
Pno01G005034.t4	Pno09G016005.t1
Pno01G005038.t2	Pno09G016018.t1
Pno01G005039.t1	Pno09G016021.t1
Pno01G005040.t3	Pno09G016047.t3
Pno01G005044.t1	Pno09G016058.t1
Pno01G005051.t1	Pno09G016083.t1
Pno01G005052.t1	Pno09G016092.t1
Pno01G005053.t1	Pno09G016094.t1
Pno01G004310.t4	Pno09G014391.t1
Pno01G004321.t1	Pno09G014450.t1
Pno01G004334.t1	Pno09G014555.t2
Pno01G004340.t1	Pno09G014596.t3
Pno01G004342.t1	Pno09G014597.t1
Pno01G004369.t2	Pno09G014742.t1
Pno01G004372.t1	Pno09G014765.t1
Pno01G004393.t1	Pno09G014852.t1
Pno01G004401.t1	Pno09G014928.t1
Pno01G004432.t3	Pno09G014999.t1
Pno01G004436.t1	Pno09G015073.t1
Pno01G004451.t1	Pno09G015138.t1
Pno01G004461.t1	Pno09G015158.t1
Pno01G004462.t1	Pno09G015166.t1
Pno01G004463.t1	Pno09G015168.t2
Pno01G004465.t2	Pno09G015197.t1
Pno01G004466.t1	Pno09G015207.t1
Pno01G004477.t1	Pno09G015250.t1
Pno01G004488.t1	Pno09G015277.t1
Pno01G004491.t1	Pno09G015319.t1
Pno01G004496.t1	Pno09G015354.t1
Pno01G004501.t1	Pno09G015365.t1
Pno01G004511.t1	Pno09G015384.t2
Pno01G004513.t1	Pno09G015386.t1
Pno01G004514.t1	Pno09G015415.t1
Pno01G004546.t1	Pno09G015480.t1
Pno01G004550.t1	Pno09G015485.t1
Pno01G004554.t1	Pno09G015498.t1
Pno01G004559.t1	Pno09G015519.t1
Pno01G004561.t1	Pno09G015569.t3
Pno01G004562.t1	Pno09G015571.t1
Pno01G000527.t2	Pno09G002837.t1
Pno01G000535.t1	Pno09G002840.t2
Pno01G000542.t2	Pno09G002844.t1
Pno01G000545.t2	Pno09G002847.t1
Pno01G000547.t1	Pno09G002849.t1
Pno01G000555.t1	Pno09G002861.t1
Pno01G000568.t2	Pno09G002865.t1
Pno01G000614.t1	Pno09G002874.t1
Pno01G000636.t1	Pno09G002875.t1
Pno01G004632.t1	Pno09G017225.t2
Pno01G004635.t2	Pno09G017226.t1
Pno01G004644.t1	Pno09G000015.t2
Pno01G004650.t2	Pno09G000023.t1
Pno01G004661.t1	Pno09G000046.t1
Pno01G004665.t5	Pno09G000048.t1
Pno01G004675.t2	Pno09G000057.t1
Pno01G004686.t1	Pno09G000067.t1
Pno01G002432.t2	Pno09G002279.t4
Pno01G002450.t1	Pno09G002284.t1
Pno01G002471.t1	Pno09G002295.t1
Pno01G002568.t2	Pno09G002300.t1
Pno01G002600.t1	Pno09G002306.t4
Pno01G002657.t1	Pno09G002312.t1
Pno01G002669.t1	Pno09G002316.t1
Pno01G002678.t2	Pno09G002319.t1
Pno01G007176.t2	Pno09G000945.t2
Pno01G007186.t1	Pno09G000946.t1
Pno01G007198.t1	Pno09G000953.t1
Pno01G007212.t2	Pno09G000961.t1
Pno01G007213.t1	Pno09G000963.t1
Pno01G007214.t1	Pno09G000965.t2
Pno01G007219.t1	Pno09G000966.t2
Pno01G007222.t2	Pno09G000993.t1
Pno01G004710.t2	Pno09G002874.t1
Pno01G004716.t1	Pno09G002875.t1
Pno01G004717.t1	Pno09G002877.t1
Pno01G004724.t1	Pno09G002881.t1
Pno01G004726.t1	Pno09G002882.t1
Pno01G004729.t1	Pno09G002885.t1
Pno01G004730.t1	Pno09G002889.t1
Pno01G005928.t1	Pno09G001614.t1
Pno01G005929.t1	Pno09G001613.t1
Pno01G005932.t1	Pno09G001607.t1
Pno01G005934.t1	Pno09G001604.t1
Pno01G005935.t1	Pno09G001603.t1
Pno01G005936.t1	Pno09G001598.t1
Pno01G005937.t2	Pno09G001596.t1
Pno01G005938.t1	Pno09G001592.t1
Pno01G005939.t3	Pno09G001591.t1
Pno01G005951.t1	Pno09G001575.t3
Pno01G005952.t1	Pno09G001573.t1
Pno01G005953.t1	Pno09G001572.t1
Pno01G005974.t1	Pno09G001559.t2
Pno01G005975.t2	Pno09G001558.t1
Pno01G005987.t1	Pno09G001557.t1
Pno01G005998.t1	Pno09G001547.t1
Pno01G005999.t1	Pno09G001544.t1
Pno01G006000.t3	Pno09G001543.t1
Pno01G006004.t2	Pno09G001542.t3
Pno01G006012.t1	Pno09G001536.t1
Pno01G006013.t1	Pno09G001535.t1
Pno01G006067.t1	Pno09G001530.t1
Pno01G006113.t1	Pno09G001515.t2
Pno01G006120.t1	Pno09G001500.t1
Pno01G006129.t1	Pno09G001497.t1
Pno01G006137.t1	Pno09G001493.t5
Pno01G006138.t1	Pno09G001489.t1
Pno01G006139.t1	Pno09G001488.t1
Pno01G006142.t2	Pno09G001485.t1
Pno01G006146.t1	Pno09G001483.t1
Pno01G006148.t2	Pno09G001473.t1
Pno01G006149.t1	Pno09G001471.t1
Pno01G006153.t1	Pno09G001470.t1
Pno01G006175.t1	Pno09G001467.t1
Pno01G006189.t3	Pno09G001465.t1
Pno01G006190.t1	Pno09G001463.t1
Pno01G006205.t1	Pno09G001460.t1
Pno01G006213.t1	Pno09G001458.t1
Pno01G006219.t1	Pno09G001451.t1
Pno01G006240.t1	Pno09G001447.t1
Pno01G006243.t1	Pno09G001441.t1
Pno01G006262.t1	Pno09G001435.t1
Pno01G006265.t1	Pno09G001433.t1
Pno01G006267.t1	Pno09G001429.t1
Pno01G006275.t1	Pno09G001428.t1
Pno01G006280.t1	Pno09G001427.t1
Pno01G006284.t1	Pno09G001418.t1
Pno01G006304.t1	Pno09G001416.t1
Pno01G006330.t1	Pno09G001414.t1
Pno01G006340.t1	Pno09G001404.t1
Pno01G006352.t1	Pno09G001401.t3
Pno01G006354.t1	Pno09G001385.t1
Pno01G006358.t1	Pno09G001380.t1
Pno01G006377.t1	Pno09G001372.t1
Pno01G006378.t1	Pno09G001369.t1
Pno01G006379.t1	Pno09G001359.t1
Pno01G006380.t1	Pno09G001358.t1
Pno01G006390.t2	Pno09G001356.t1
Pno01G006391.t1	Pno09G001354.t1
Pno01G006393.t1	Pno09G001331.t3
Pno01G006395.t1	Pno09G001327.t1
Pno01G006396.t1	Pno09G001326.t1
Pno01G006397.t1	Pno09G001324.t1
Pno01G006398.t3	Pno09G001323.t1
Pno01G006399.t1	Pno09G001321.t1
Pno01G006405.t1	Pno09G001311.t1
Pno01G006428.t1	Pno09G001306.t1
Pno01G006442.t2	Pno09G001302.t1
Pno01G006472.t2	Pno09G001288.t1
Pno01G006492.t1	Pno09G001287.t1
Pno01G006503.t1	Pno09G001280.t1
Pno01G006513.t1	Pno09G001278.t1
Pno01G006531.t1	Pno09G001272.t1
Pno01G006547.t1	Pno09G001267.t1
Pno01G006549.t1	Pno09G001266.t1
Pno01G006558.t1	Pno09G001264.t1
Pno01G006589.t1	Pno09G001254.t1
Pno01G006595.t1	Pno09G001249.t1
Pno01G006597.t6	Pno09G001247.t1
Pno01G006608.t1	Pno09G001246.t1
Pno01G006612.t1	Pno09G001244.t1
Pno01G006613.t1	Pno09G001242.t3
Pno01G006616.t1	Pno09G001240.t1
Pno01G006620.t2	Pno09G001238.t1
Pno01G006621.t1	Pno09G001237.t1
Pno01G006632.t1	Pno09G001236.t1
Pno01G006636.t2	Pno09G001235.t1
Pno01G006642.t1	Pno09G001234.t1
Pno01G006645.t1	Pno09G001231.t1
Pno01G006663.t1	Pno09G001218.t1
Pno01G006680.t1	Pno09G001199.t1
Pno01G006700.t6	Pno09G001193.t1
Pno01G006709.t2	Pno09G001186.t1
Pno01G006710.t1	Pno09G001183.t1
Pno01G006711.t1	Pno09G001177.t1
Pno01G006712.t1	Pno09G001176.t1
Pno01G006728.t1	Pno09G001170.t2
Pno01G006742.t1	Pno09G001160.t1
Pno01G006749.t2	Pno09G001151.t1
Pno01G006750.t1	Pno09G001150.t1
Pno01G006759.t1	Pno09G001149.t2
Pno01G006760.t1	Pno09G001148.t1
Pno01G006767.t1	Pno09G001146.t1
Pno01G006774.t1	Pno09G001140.t1
Pno01G006785.t1	Pno09G001130.t1
Pno01G006787.t1	Pno09G001128.t1
Pno01G006810.t1	Pno09G001125.t1
Pno01G006816.t1	Pno09G001120.t1
Pno01G006831.t1	Pno09G001115.t1
Pno01G006879.t1	Pno09G001104.t1
Pno01G006899.t2	Pno09G001098.t1
Pno01G006929.t1	Pno09G001081.t1
Pno01G006948.t1	Pno09G001072.t1
Pno01G006956.t1	Pno09G001060.t2
Pno01G006958.t1	Pno09G001059.t2
Pno01G006960.t2	Pno09G001058.t2
Pno01G006962.t1	Pno09G001054.t1
Pno01G006965.t1	Pno09G001053.t1
Pno01G006966.t3	Pno09G001051.t1
Pno01G006971.t1	Pno09G001047.t1
Pno01G006972.t1	Pno09G001042.t2
Pno01G006978.t1	Pno09G001040.t1
Pno01G006983.t1	Pno09G001029.t1
Pno01G007011.t1	Pno09G001017.t1
Pno01G007047.t2	Pno09G001013.t1
Pno01G007076.t1	Pno09G001006.t1
Pno01G007077.t1	Pno09G001005.t1
Pno01G007083.t1	Pno09G001000.t1
Pno01G007100.t1	Pno09G000995.t2
Pno01G007106.t1	Pno09G000990.t1
Pno01G007110.t1	Pno09G000988.t1
Pno01G007151.t1	Pno09G000973.t1
Pno01G007165.t1	Pno09G000971.t1
Pno01G007167.t1	Pno09G000970.t1
Pno01G007169.t1	Pno09G000969.t1
Pno01G007174.t1	Pno09G000968.t1
Pno01G002743.t1	Pno09G002259.t2
Pno01G002765.t1	Pno09G002258.t1
Pno01G002769.t1	Pno09G002256.t1
Pno01G002774.t1	Pno09G002251.t1
Pno01G002784.t1	Pno09G002248.t1
Pno01G002786.t1	Pno09G002246.t1
Pno01G002816.t2	Pno09G002245.t1
Pno01G002822.t1	Pno09G002239.t1
Pno01G002823.t1	Pno09G002238.t1
Pno01G002888.t1	Pno09G002234.t1
Pno01G002892.t3	Pno09G002232.t1
Pno01G002910.t1	Pno09G002231.t1
Pno01G002918.t1	Pno09G002228.t1
Pno01G002924.t1	Pno09G002227.t1
Pno01G002945.t1	Pno09G002226.t1
Pno01G002946.t1	Pno09G002222.t1
Pno01G002950.t1	Pno09G002213.t1
Pno01G002974.t1	Pno09G002208.t1
Pno01G002980.t1	Pno09G002202.t1
Pno01G002999.t3	Pno09G002197.t1
Pno01G003000.t1	Pno09G002196.t1
Pno01G003002.t1	Pno09G002192.t2
Pno01G003005.t1	Pno09G002190.t2
Pno01G003019.t1	Pno09G002188.t1
Pno01G003024.t1	Pno09G002180.t1
Pno01G003028.t1	Pno09G002179.t2
Pno01G003029.t1	Pno09G002178.t1
Pno01G003030.t1	Pno09G002177.t1
Pno01G003034.t3	Pno09G002175.t1
Pno01G003067.t2	Pno09G002172.t2
Pno01G003102.t2	Pno09G002170.t1
Pno01G003103.t1	Pno09G002168.t1
Pno01G003201.t1	Pno09G002164.t1
Pno01G003219.t1	Pno09G002157.t1
Pno01G003229.t1	Pno09G002156.t1
Pno01G003236.t3	Pno09G002153.t3
Pno01G003259.t1	Pno09G002149.t1
Pno01G003263.t1	Pno09G002148.t1
Pno01G003266.t1	Pno09G002145.t1
Pno01G003279.t1	Pno09G002142.t1
Pno01G003289.t1	Pno09G002136.t1
Pno01G003312.t1	Pno09G002134.t3
Pno01G003322.t1	Pno09G002133.t1
Pno01G003352.t2	Pno09G002132.t1
Pno01G003360.t1	Pno09G002131.t1
Pno01G003383.t1	Pno09G002129.t1
Pno01G003402.t1	Pno09G002128.t1
Pno01G003406.t3	Pno09G002127.t1
Pno01G003418.t2	Pno09G002124.t1
Pno01G003421.t1	Pno09G002122.t2
Pno01G003422.t1	Pno09G002119.t1
Pno01G003427.t1	Pno09G002117.t1
Pno01G003523.t1	Pno09G002110.t1
Pno01G003542.t1	Pno09G002107.t1
Pno01G003543.t1	Pno09G002103.t1
Pno01G003615.t1	Pno09G002102.t1
Pno01G003674.t1	Pno09G002091.t1
Pno01G003676.t1	Pno09G002085.t1
Pno01G003734.t1	Pno09G002083.t1
Pno01G003776.t1	Pno09G002078.t1
Pno01G003800.t1	Pno09G002077.t1
Pno01G003818.t1	Pno09G002076.t2
Pno01G003864.t1	Pno09G002073.t1
Pno01G003883.t1	Pno09G002072.t1
Pno01G003906.t1	Pno09G002070.t1
Pno01G003917.t1	Pno09G002061.t1
Pno01G003956.t1	Pno09G002057.t2
Pno01G003974.t1	Pno09G002055.t1
Pno01G004031.t1	Pno09G002048.t1
Pno01G004051.t1	Pno09G002043.t1
Pno01G004180.t1	Pno09G002032.t1
Pno01G004188.t1	Pno09G002030.t1
Pno01G004191.t1	Pno09G002029.t3
Pno01G004197.t2	Pno09G002026.t1
Pno01G004220.t1	Pno09G002024.t1
Pno01G004228.t1	Pno09G002022.t1
Pno01G004293.t1	Pno09G002013.t1
Pno01G004338.t1	Pno09G002011.t1
Pno01G004399.t1	Pno09G002008.t1
Pno01G004629.t1	Pno09G002004.t2
Pno01G004662.t2	Pno09G002002.t3
Pno01G004667.t1	Pno09G002000.t1
Pno01G004704.t1	Pno09G001993.t1
Pno01G004740.t1	Pno09G001991.t1
Pno01G004783.t2	Pno09G001987.t1
Pno01G004790.t1	Pno09G001985.t1
Pno01G004796.t1	Pno09G001981.t1
Pno01G004808.t1	Pno09G001980.t1
Pno01G004874.t1	Pno09G001979.t1
Pno01G004877.t1	Pno09G001978.t1
Pno01G004882.t1	Pno09G001977.t1
Pno01G004885.t1	Pno09G001976.t1
Pno01G004925.t2	Pno09G001972.t1
Pno01G004931.t1	Pno09G001971.t1
Pno01G004937.t1	Pno09G001970.t1
Pno01G004942.t1	Pno09G001969.t1
Pno01G005049.t1	Pno09G001967.t1
Pno01G005160.t1	Pno09G001953.t1
Pno01G005173.t1	Pno09G001949.t1
Pno01G005234.t1	Pno09G001942.t1
Pno01G005254.t1	Pno09G001941.t1
Pno01G005257.t1	Pno09G001940.t1
Pno01G005391.t1	Pno09G001938.t1
Pno01G005392.t2	Pno09G001937.t1
Pno01G005404.t1	Pno09G001931.t1
Pno01G005415.t2	Pno09G001929.t1
Pno01G005418.t1	Pno09G001928.t1
Pno01G005425.t1	Pno09G001926.t1
Pno01G000090.t1	Pno09G000341.t1
Pno01G000101.t2	Pno09G000339.t1
Pno01G000105.t1	Pno09G000337.t1
Pno01G000116.t2	Pno09G000331.t1
Pno01G000152.t2	Pno09G000322.t2
Pno01G000196.t1	Pno09G000316.t1
Pno01G000203.t1	Pno09G000314.t4
Pno01G000207.t1	Pno09G000310.t1
Pno01G000208.t1	Pno09G000309.t1
Pno01G000225.t1	Pno09G000308.t1
Pno01G000227.t1	Pno09G000307.t1
Pno01G000273.t1	Pno09G000304.t2
Pno01G000334.t1	Pno09G000300.t5
Pno01G000362.t1	Pno09G000296.t1
Pno01G000380.t1	Pno09G000293.t1
Pno01G000387.t1	Pno09G000280.t1
Pno01G000392.t1	Pno09G000247.t2
Pno01G000409.t1	Pno09G000239.t1
Pno01G000447.t1	Pno09G000228.t1
Pno01G000450.t1	Pno09G000226.t1
Pno01G000454.t2	Pno09G000223.t1
Pno01G000459.t1	Pno09G000217.t1
Pno01G000476.t2	Pno09G000213.t1
Pno01G000477.t1	Pno09G000208.t1
Pno01G000488.t1	Pno09G000193.t2
Pno01G000490.t1	Pno09G000185.t1
Pno01G000505.t1	Pno09G000181.t1
Pno01G000535.t1	Pno09G000175.t2
Pno01G000546.t1	Pno09G000173.t1
Pno01G000547.t1	Pno09G000172.t1
Pno01G000550.t1	Pno09G000170.t3
Pno01G000553.t1	Pno09G000169.t1
Pno01G000555.t1	Pno09G000168.t1
Pno01G000558.t1	Pno09G000162.t1
Pno01G000568.t2	Pno09G000158.t1
Pno01G000600.t1	Pno09G000149.t1
Pno01G000617.t1	Pno09G000148.t1
Pno01G000620.t1	Pno09G000143.t1
Pno01G000626.t1	Pno09G000142.t1
Pno01G000636.t1	Pno09G000140.t2
Pno01G000645.t1	Pno09G000139.t1
Pno01G000650.t1	Pno09G000136.t1
Pno01G000673.t1	Pno09G000104.t1
Pno01G000688.t1	Pno09G000091.t1
Pno01G000739.t1	Pno09G000078.t1
Pno01G000758.t2	Pno09G000075.t2
Pno01G000759.t1	Pno09G000074.t1
Pno01G000761.t1	Pno09G000070.t1
Pno01G000762.t1	Pno09G000067.t1
Pno01G000840.t1	Pno09G000023.t1
Pno01G000861.t1	Pno09G000022.t1
Pno01G000864.t1	Pno09G000020.t2
Pno01G000865.t1	Pno09G000019.t1
Pno01G000910.t1	Pno09G000015.t2
Pno01G000939.t1	Pno09G000014.t1
Pno01G000951.t1	Pno09G000008.t1
Pno01G000966.t1	Pno09G000003.t1
Pno01G000968.t1	Pno09G017232.t1
Pno01G001011.t1	Pno09G017225.t2
Pno01G001031.t1	Pno09G017224.t3
Pno01G001068.t1	Pno09G017204.t1
Pno01G001079.t1	Pno09G017197.t1
Pno01G001091.t1	Pno09G017120.t1
Pno01G001150.t1	Pno09G017112.t1
Pno01G001181.t1	Pno09G017099.t1
Pno01G001182.t1	Pno09G017098.t1
Pno01G001200.t1	Pno09G017097.t1
Pno01G001205.t2	Pno09G017094.t1
Pno01G001216.t1	Pno09G017064.t1
Pno01G001227.t1	Pno09G017063.t1
Pno01G001262.t1	Pno09G017014.t2
Pno01G001348.t1	Pno09G017003.t1
Pno01G001349.t1	Pno09G017002.t1
Pno01G001362.t2	Pno09G016989.t1
Pno01G001369.t1	Pno09G016985.t1
Pno01G001371.t1	Pno09G016984.t1
Pno01G001410.t1	Pno09G016966.t1
Pno01G007222.t2	Pno09G000940.t3
Pno01G007223.t2	Pno09G000938.t2
Pno01G007226.t1	Pno09G000933.t1
Pno01G007227.t1	Pno09G000932.t1
Pno01G007236.t1	Pno09G000931.t1
